sale_def,bed,bath,area_heated,area,dist_cbd,dist_lakes,pool
93055,6,2,1827,9424,14818.47,844.07,0
839306,5,5,5077,32541,14490.97,164.62,1
135175,4,2,1449,5225,14413.83,5130.14,0
217261,4,2,1782,13916,16971.98,68.65,1
174747,4,3,2367,8792,18959.4,5885.11,1
91847,2,2,1312,6962,15562.8,3286.69,0
107123,2,1,1143,9240,8566.64,2062.89,0
687994,5,4,3887,15435,19662.97,278.23,1
224284,5,2.5,2740,5541,21592.6,1399.82,1
110231,3,2,1276,4958,8721.14,1138.23,0
112530,2,2,1420,16610,19875.42,1638.84,0
133373,2,2.5,1278,1701,17704.1,1598.27,0
142238,4,2,1465,5650,14669.87,5544.94,0
310214,5,3,2939,14203,23028.26,897.79,1
124604,3,2,1334,5750,16810.65,5152.95,0
110588,4,2.5,1727,6687,10685.31,259.83,0
243019,3,2.5,2162,5500,20806.2,2062.48,1
907855,5,6,5494,12044,16193.33,29.87,1
131775,4,1.5,1776,26535,13413.26,541.14,0
112907,3,2,1260,5250,20931.09,5317.96,0
191546,4,2,2014,13440,16187.03,845.15,0
89941,1,1,1086,7005,8944.21,346.67,0
161712,4,2,2202,12849,11829.55,4363.27,1
267950,5,3,3100,7979,15099.33,2601.38,1
155077,3,2,1514,5060,15438.17,2915.49,1
121059,4,2,1769,7585,11361.66,451.24,0
203403,4,2,1618,8452,8241.34,1673.52,0
183737,3,2,2012,11109,12543,4279.26,0
124532,3,2,1731,13914,12253.87,160.47,0
136741,3,2,1577,5053,15202.63,632.13,0
200641,3,2,2033,15303,15624.92,116.07,1
320822,5,4,3138,9749,16862.18,313.9,1
85467,3,1,1382,11057,14553.54,1204.41,0
82520,3,2,1135,3600,15656.46,355.33,0
126816,4,2,1877,5254,20379.33,556.27,0
69320,2,1,1098,8182,8117.16,1738.78,0
151447,2,1,792,7179,3273.26,642.65,0
115638,3,2,1279,8899,10986.82,809.53,0
132899,2,1,1065,6800,3377.29,338.99,0
141202,3,2,1619,5000,21401.64,7079.41,0
328065,4,3,3388,11992,18333.47,571.04,1
149270,3,2,1703,2875,23557.31,607.51,0
156274,3,2.5,1507,4261,22591.94,276.35,0
116922,3,2,1490,12689,6106.63,1058.26,0
